Urgent,High,Verified,Frequent,What is the type of property?,What is the size of the area needing artificial turf?,What preparation work(s) will be needed?,What kind of artificial turf do you need?,When would you like the work carried out?,How likely are you to make a hiring decision?,base_value,predicted_value,Credits,Lead Id
-0.0016205126671680165,0.22983364100002995,0.0024761016120673053,-0.0006560769608941569,0.1375596868157448,-0.0009989005374756873,0.0002235928646446542,-9.420451591970094e-05,0.02747328663127278,0.5582704925363674,6.050873246417119,7.003340353195789,7,48335423
0.013960367382717675,-0.15788982271168944,-0.0025674359210206225,0.0011831279452236896,-0.08420451877761347,-0.004347945113895745,3.758063387604091e-05,-4.866134455058624e-06,-0.027725638048950018,-0.7825302085790654,6.050873246417119,5.006783887092246,5,48335468
0.012421167648109946,-0.15805214402698056,0.009288919665327439,-0.0021273796953875765,-0.08433312566844756,-0.005693765071835413,-0.00014521208956375084,-0.0004027389457243997,-0.010782691357623326,-0.8034305047057303,6.050873246417119,5.007615772169263,5,48335684
-0.0010363084423015204,0.24366719817212973,-0.0009117979714953037,-0.0008049996540466527,0.13760504254583444,-0.0014975220604792022,0.00014707223022454417,-0.0005003832795565533,0.003789682262799338,0.5726833304857524,6.050873246417119,7.004014560705981,7,48335821
0.012808720165811175,-0.16317897220070077,-0.002073176768093743,0.0014098301307751734,-0.08499097914276595,-0.004749144172094081,-9.914989578726832e-05,-0.0003332603813589141,-0.0040803713013649245,-0.7963370038788194,6.050873246417119,5.009249738972722,5,48335997
-0.004147459980511378,-0.15423637142965346,-0.0025383030604949407,-0.001623406654226249,-0.08459494216281987,0.0021952704002993653,0.00010297362107822276,0.0003103199971928591,-0.027972061191167238,-0.7807405016621082,6.050873246417119,4.997628764294708,5,48336035
-0.002007789348440011,-0.17994434595395928,-0.0017935899474926919,-0.00030024126998438194,-0.06039768796378608,-0.002493717537623821,3.690337455305419e-05,-0.0003161189399020022,-0.0034582549515097868,0.20845740591352346,6.050873246417119,6.008655809792497,6,48336120
-0.004251117251806107,-0.1558872150913905,-0.002303330782162463,0.0010806808338433942,-0.0836121478206081,-0.0042528586316311675,7.074250057629593e-05,0.00017820301842792974,-0.027805239060055123,-0.7806714870114141,6.050873246417119,4.993419477120899,5,48338173
0.015760579910348977,-0.15163443340618568,0.0021594558530072324,0.0018943506081489632,-0.05931772461210716,0.008485363026313007,0.00023421537654096924,-0.0004171275452877114,-0.02557830112503066,-0.7599668414044309,6.050873246417119,5.082492783098434,5,48338427
-0.0030235203615817897,-0.16121058252162498,-0.0016148947889820168,0.0011605525512101117,-0.08235130003741314,-0.0044322957576122,-3.589672688444852e-06,-2.2787191578589327e-05,-0.00455884335574251,-0.7971959234761039,6.050873246417119,4.997620061805002,5,48339306
0.005594871828997512,0.2267345145893039,-0.00039925653699639447,0.0014527122130626809,0.13664464268689155,-0.0015311379192786893,-7.009188194105169e-05,-0.0010266172506800766,0.029898697372824898,0.5513696654082566,6.050873246417119,6.99954124692756,7,48339537
-0.0027620431345176935,-0.15973104531114643,-0.0014974742595128695,-0.0016233180820308549,-0.08226016639536364,-0.004400069641439968,-2.797700604829141e-05,-2.4351924592954544e-05,-0.004932200312830483,-0.7980287053412534,6.050873246417119,4.995585895008382,5,48339617
-0.0015277025878045296,0.24265849713903948,-0.0010145252662667004,0.00048067700609559787,0.137049867113227,-0.0016402759270830237,4.858132984285071e-06,-0.00043662577455121,0.003413695640185411,0.5724899375282048,6.050873246417119,7.00235164942115,7,48340240
-0.002212513669429476,0.2284167820110137,0.002451734108191794,0.0003596307535912053,0.13598322325425807,-0.0002651092816653521,3.167239900617223e-05,-0.0002747402771377385,0.02677573742641127,0.557079336362663,6.050873246417119,6.999218999504022,7,48340537
-0.002179338655154954,0.22842875048063951,0.0025111664544432873,0.0003878201402237709,0.13727377959273387,-0.0008319897826714716,0.00013944520497369408,-0.00011236130540503338,0.027427140116189734,0.5573100184712594,6.050873246417119,7.0012276771343505,7,48340799
-0.002693399252686677,-0.15938923321574963,-0.0015707244164844519,-0.0017187411997915648,-0.08321190075140693,-0.003564462558413847,-0.00013357252820002632,-0.00012362306175480673,-0.005585091346294864,-0.7967971835229463,6.050873246417119,4.9960853145633894,5,48340878
-0.0030235203615817897,-0.16121058252162498,-0.0016148947889820168,0.0011605525512101117,-0.08235130003741314,-0.0044322957576122,-3.589672688444852e-06,-2.2787191578589327e-05,-0.00455884335574251,-0.7971959234761039,6.050873246417119,4.997620061805002,5,48341496
-0.0016461897172817901,0.23536698697288136,0.0038937789091021157,0.0005746194510480999,0.13792881437465437,-0.0015945252104995172,-9.827691382822204e-05,-0.00046849958588984124,0.004902956609747215,0.5699278224062917,6.050873246417119,6.999660733713346,7,48342287
-0.0029962505908634578,-0.1777520134311874,-0.0014449516348051454,0.00013329281065910326,-0.061814460426420574,-0.005341209701259354,-4.425359986342292e-06,0.0017374665610535103,0.018076523916372524,0.16067373739509103,6.050873246417119,5.9821409559557726,6,48342492
-0.0053361387884653935,-0.16390639360858225,-0.001319395399940789,0.0012546640695728392,-0.08728732910926731,-0.0055975444444097775,1.3243819459735828e-05,-0.0004123491306320853,0.029251173718900406,-0.8059433604983263,6.050873246417119,5.011589817045428,5,48342624
-0.0022862010806610007,-0.21262303974566785,-0.0016205126355856663,0.0005707011279130693,-0.07616850369311791,-0.002048006372454943,-8.829771469176193e-05,-0.0002297053996473126,-0.002148198628532564,0.244713024576112,6.050873246417119,5.998944506850784,6,48342979
-0.001600026967262255,0.23583005844542346,0.004134205620979924,0.000505172369004373,0.138084418359687,-0.0011546783824011291,5.002605549782555e-05,-0.00041388237931055895,0.004212652904173704,0.5706024441219726,6.050873246417119,7.001123636564884,7,48343609
-0.002324695829793671,0.24371207426695846,-0.0002575933832459113,0.0003977631801349754,0.14364243937176585,-7.950700257042094e-05,6.025512927696784e-05,1.619762998403031e-05,-0.01929752275056805,0.5912562564164969,6.050873246417119,7.007998913445558,7,48343851
0.004798636915672349,0.23621939255342445,-0.0011400108071653807,0.0016338138956977358,0.13835089289172847,0.00011691191317282735,-0.0003788348169511128,-0.000486790650835695,0.00882437370561017,0.5646468863822368,6.050873246417119,7.003458518399708,7,48344132
-0.004174413921557067,-0.1542172980321959,-0.0021081273658093225,-0.0015563086609866586,-0.08202969458268075,-0.003378958757144123,7.720991828246695e-06,-0.0003130742116065582,-0.026902393681184834,-0.780457789586549,6.050873246417119,4.995742908609234,5,48344606
-0.0051683580485636345,-0.1616489077865928,0.007123142856502095,-0.001881437110492044,-0.08887989998334835,0.005059402571729902,-4.008360316043169e-05,-0.00035224665074715025,0.029642511344756737,-0.8097111151146692,6.050873246417119,5.025016254892534,5,48344641
-0.0021702177989318863,0.24418801900527473,-0.0009645724435898988,0.0005023985343645755,0.13829350065682203,-0.0008107919255366501,3.357011082458754e-05,-0.0005685903197158672,0.0047340067675024945,0.570774694184733,6.050873246417119,7.004885263188867,7,48344697
-0.0028087291563656754,-0.20085518230098814,-0.0014423946451224345,0.0003541849750893095,-0.0755973582874843,-0.0007073190507459914,-9.539803807672853e-05,0.0002964953172938728,-0.027327938624786045,0.257865289895966,6.050873246417119,6.000554896501899,6,48345818
-0.0015586723928022732,0.2422614880497094,-0.0009784280559841606,0.00048599085301864666,0.13728422491863151,-0.0014514616204871391,0.0001211365898922649,-0.0005127207649675044,0.004104405095962263,0.5719060314112059,6.050873246417119,7.002535240501298,7,48346392
-0.002143120503556963,-0.18040435836670923,-0.001893725044834692,0.0002567704788171334,-0.06053529489644271,-0.0024943117800788257,-8.808275965973415e-06,-0.001299094227285455,-0.0034205899492009474,0.2074291402333397,6.050873246417119,6.006359854085201,6,48346785
-0.0017934280745003106,0.2460316138909824,-0.0002275635893482431,-0.0006967870948435786,0.1444669373743006,0.0026312521740890996,-0.00014259165080964396,0.0022940796204504147,-0.018478546208125776,0.5925999537137149,6.050873246417119,7.017558166573029,7,48346910
-0.0015878919050038693,0.24221114067676888,-0.0009654585645554073,0.0004934412224801192,0.13727750254630589,-0.0017026772503688043,-0.00012062707056460979,-0.001049872090698785,0.004117422041748586,0.571979147601542,6.050873246417119,7.001525373624773,7,48347168
-0.0023277699394646475,0.24369129549438073,-0.00027821004624260364,0.00035747598183782215,0.14361413045303512,-0.00010838417791795489,-0.00017253452976036466,-1.478233864497527e-05,-0.019644090883646548,0.5911369790868175,6.050873246417119,7.007127355517513,7,48349660
-0.0030235203615817897,-0.16121058252162498,-0.0016148947889820168,0.0011605525512101117,-0.08235130003741314,-0.0044322957576122,-3.589672688444852e-06,-2.2787191578589327e-05,-0.00455884335574251,-0.7971959234761039,6.050873246417119,4.997620061805002,5,48349770
-0.002044793162318444,-0.18020278061218847,-0.0019043255127817245,0.0002460275923044709,-0.060713660766871076,-0.0017058764338573052,-7.593719675377162e-05,-0.0002667210679198314,-0.003424689741045488,0.2081896962909513,6.050873246417119,6.008970185806638,6,48349989
-0.0021856855473684827,0.23295538431079627,-0.00045048601446896124,0.0002831181276013362,0.13633747459315557,-0.0018528718566502916,-0.00014504385599809028,-0.000281534822657795,0.02845671158320367,0.5594912008877987,6.050873246417119,7.003481513822531,7,48350844
-0.001955679153276119,0.24561295963533367,-0.0004197327897384622,-0.0006903704082017116,0.14429546539878382,0.003082117610656051,-0.00016349666588891032,-3.0933109771189626e-05,-0.017521579300147628,0.5929120838908785,6.050873246417119,7.015994081525747,7,48351784
-0.002735432882015236,-0.21142059932826568,-0.0017510035962876717,0.0006578488602564444,-0.07648987531764798,-0.0020841187240416073,-1.0400993404191924e-05,-0.0002134702714183475,-0.00020746580967612985,0.23891263493445053,6.050873246417119,5.995531363289069,6,48353911
-0.003950376733182181,-0.16045954270439952,-0.0018104285270605443,0.001309711501306006,-0.08391055753459177,-0.003650941763565091,0.0002680169657585644,-0.0001675629160963839,-0.0003993489193681418,-0.7984413705857846,6.050873246417119,4.999660845200134,5,48355452
-0.002513756511927853,-0.21634876410696985,-0.0012734455620094223,-0.0008793343052482633,-0.07795030139733237,0.00204755066503706,0.0001303870181709009,0.0001329542797702015,0.022868532108059614,0.21925108831057788,6.050873246417119,5.996338156915247,6,48356097
0.00436277977986761,0.23732977259846486,-0.001059479064014824,0.0014740535682528,0.1371618999208235,-0.0009966914264497853,-0.00021652194310844866,-0.0012774843887118326,0.004940966231723787,0.5655251312516443,6.050873246417119,6.998117672945609,7,48356352
0.008435303223952171,-0.2134769604615828,-0.0017627385698589656,0.000707559120600854,-0.07791148197957942,-0.0011234962409395902,-1.516840171939084e-05,-0.0011523588653775212,-0.0030360134888784644,0.233361574261387,6.050873246417119,5.994899465015123,6,48357078
-0.002153585336244056,0.2441649788683155,-0.0009260703158187481,0.0004981164818914328,0.13675240886613008,0.002466229415639325,-4.838346559747809e-05,-0.00047421900353795374,0.005441778595504502,0.5665232725630804,6.050873246417119,7.003117773086481,7,48357489
-0.0026311372382033537,-0.2161527512563538,-0.0011210062476654141,-0.0006064383529112606,-0.07697873412194849,-0.00402754899831247,-1.2440104553031276e-05,3.823793475125607e-05,0.01988658836254603,0.22392271937028993,6.050873246417119,5.993190735764758,6,48357659
