Urgent,High,Verified,Frequent,What is the type of property?,Which of these best describes your situation?,What work do you need doing?,How big is the area involved?,What do you want the patio to be made from?,When do you want the work carried out?,base_value,predicted_value,Credits,Lead Id
9.832909441690294e-05,0.0,-0.0002177455211079079,0.0016055081436167889,0.03651139489088469,0.2981931208150239,0.0018888750261124134,0.013111346146471137,0.0,0.005054361161027304,7.644612001426087,8.000857191182533,8,48266323
0.0008580643588103335,0.0,-0.00014858135537911611,0.002545228798327105,0.020866737462344,0.3054792944026361,-0.0005455370397751447,0.01491086548630253,0.0,0.006862443730397669,7.644612001426087,7.995440517269751,8,48267127
-0.0022547195406799067,0.0,-0.0014780824509675247,0.009249069245537164,-0.18014291292330603,-1.3594803081402427,-0.005427741686442759,-0.05776974673793279,0.0,-0.04112773206754299,7.644612001426087,6.00617982712451,6,48268890
-0.00010758983312552349,0.0,0.026379821785168525,0.03865733185323259,-0.32302696926781,-2.2986168189787177,0.02731758688420084,0.038240472219822144,0.0,0.22841377046204386,7.644612001426087,5.381869606550903,7,48272634
3.418241027973661e-05,0.0,-0.00021491088962930535,-0.0007080398750502596,0.036890219389240794,0.3047339720269055,0.00163307602907901,0.011938716658895203,0.0,0.002957627289737058,7.644612001426087,8.001876844465544,8,48272809
-0.00023255560383226884,0.0,-0.0002299229787191938,-0.0004749855821442555,0.03698706677681784,0.303337671320187,-2.563488335102005e-05,0.009280463191915148,0.0,0.007470697173220974,7.644612001426087,8.000724800840182,8,48274079
9.782797675360713e-06,0.0,-0.00021491088962930535,0.0014293074073356597,0.03615516468260883,0.3024529713353778,0.0015686618443824787,0.011694025875124513,0.0,0.002999423713252419,7.644612001426087,8.000706428192215,8,48274473
6.34681151192915e-05,0.0,-0.0002067436557987267,-0.0007137325615881072,0.037031746394525396,0.3065973693275679,-0.0007771247357565021,0.008357423078972281,0.0,0.003006901921534331,7.644612001426087,7.997971309310663,8,48274832
-6.6491024952503e-05,0.0,-0.00021020951659637223,0.0018937520303692725,0.0364232413190422,0.3004740813891,0.0013881059932919272,0.01032817422127938,0.0,0.0051509640354607,7.644612001426087,7.999993619873082,8,48274891
-0.0027606518159314863,0.0,-0.0002403860606482614,0.0040268201920605935,-0.09647154096422951,0.3463686514814121,-0.0004350842310530008,0.009798004773785214,0.0,0.009138027990919942,7.644612001426087,7.914035842792402,8,48276979
-0.004176547554647562,0.0,-0.0009913396194755875,-0.008352739479999755,-0.17580367712888711,-1.382105712631588,0.007410393488829755,-0.05544272385408867,0.0,-0.02522144878861911,7.644612001426087,5.9999282058576116,6,48277303
9.782797675360713e-06,0.0,0.0009453916916510232,0.0016759054627412209,0.03624156095968273,0.30194635735366193,0.0013982904854568357,0.00843095472169052,0.0,0.003023678345406634,7.644612001426087,7.9982839232440535,8,48277958
-0.00023255560383226884,0.0,0.0009890328078165564,-0.000446133922901799,0.03677322052059561,0.30184575187080837,0.0012285808660433167,0.008742568080863008,0.0,0.0072065604619434166,7.644612001426087,8.000719026507422,8,48281437
-6.6491024952503e-05,0.0,0.0009515877030534014,0.0016120361998393504,0.03571710268346278,0.2978035137554379,0.001843208188529402,0.012823137452864446,0.0,0.006231016808880096,7.644612001426087,8.001527113193202,8,48281608
-0.004093129038422726,0.0,-0.0012465525356394659,-0.008155085654595672,-0.17550868098450986,-1.3761941134948776,0.004937705865634318,-0.05340604814549318,0.0,-0.03542462565663143,7.644612001426087,5.995521471781552,6,48282636
-0.002537479636223442,0.0,-0.006321977856600341,-0.020455972230616536,-0.4084238501566149,-2.627068501474758,-0.0050985470759163974,-0.05991387444934894,0.0,-0.010641655773122117,7.644612001426087,4.50415014277289,4,48282654
