Urgent,High,Verified,Frequent,Which category does the property fall under?,What will the project consist of?,What is the intended material for the fence or gate?,What is the desired height of the fence?,What is the estimated length of the fence?,How many access gates are to be included in the fence design?,Should the professional be responsible for supplying the materials?,Please indicate any supplementary fence-related services you may need?,When would you like the work to start?,How likely are you to hire a professional?,base_value,predicted_value,Credits,Lead Id
0.012158187008235863,0.3330782315785652,0.001712392887412788,0.0017805557057544328,0.013297630531590044,0.32638275600209016,-0.27752852094277414,0.0008095160873757157,-0.740705439055261,0.007063429248557027,0.06899032675285183,0.0013644372524001121,-0.37932056148241244,1.0398801923822507,9.241698662846215,9.650661796802853,10,47236542
0.002024272772810077,0.32839749070808344,-0.0005420898442539028,0.0009230250156500053,-0.00542229090982029,0.29635131607283605,0.10777271286803036,-0.019264933974111387,-0.7696325517938701,0.0006009596921020952,-0.0032115084303012287,0.0008340033727649231,-0.30818766102524375,1.0578047282795493,9.241698662846215,9.93014613565044,10,47236405
0.0014034828228027272,0.2501747851712256,0.0001789638484644926,0.0008686090804201741,0.0005595489365195636,0.27500168736326486,0.0973784161473818,0.01284114913214567,1.2561190279455898,-0.008259284764047503,-0.0032681677802993375,0.0008910129851546269,0.745389179640697,1.104420253780829,9.241698662846215,12.975397327156365,13,47235605
-0.0011771767478742211,-0.5131788566639287,-0.0001384088829095015,0.0011054145260138504,-0.002326816405013044,0.2540825553113266,0.1018539534255285,0.013858101192543512,-0.7920304065119651,-0.016849190847557163,-0.0032546622195115367,0.0007226451978890471,-0.2434715137099965,-0.055372696530311474,9.241698662846215,7.985521603980448,8,47235502
-0.0006167886249677919,0.3334309928073015,4.061060287557279e-05,0.0011054145260138504,-0.0021537282991329182,0.2892292119941916,0.10118937767374374,0.013324248468497295,-0.7508721808254717,-0.017960569371242397,-0.0025018269224093737,0.00025776558458286516,-0.307116872598522,1.062187457699612,9.241698662846215,9.961241775561287,10,47234900
-0.0025682117645080584,-0.47584713821797564,-0.005319325584848399,0.001001709733840644,0.009726829845230624,-1.8241035670683896,0.09452259727458066,-0.03220928989556032,-0.7635408397597372,-0.026808697139797357,-0.004581540504348809,0.0010390350014134544,-0.26792443086864015,-1.1868842626303235,9.241698662846215,4.758201531267155,4,47234404
0.0011898543026050766,-0.4551339088719448,0.0035984292381879644,-0.0039786138757715184,-0.0027522222583546006,0.23291935507732567,0.11607252050566431,-0.008570652872448738,2.92156501550215,0.007919400136371775,-0.0030188668315394257,0.0009563495369699501,-0.18122312349820546,-1.007138782273096,9.241698662846215,10.864103416664125,11,47234012
-0.0003967819037567018,0.28839485741745774,0.000950812835462796,0.0008355783835682355,-0.0013621509156584815,0.3073309416470373,0.09292166968666252,0.009368400501356648,-0.6997073262507248,-0.007666504897066679,-0.002668920549305838,0.0008082576420860649,0.753249489353251,1.0270545094118555,9.241698662846215,11.010811495208438,11,47233858
0.0009457355852487026,-0.5143870537927588,0.0007035952448174734,-0.003082937251514246,-0.009033655918944422,0.25117463846891475,-0.7213043435423472,0.016663233120138746,1.0682982506601093,0.0030437911525751722,-0.03493355067356206,8.8653500966303e-05,-0.24498594773925128,-0.07969088819560054,9.241698662846215,8.975198183465007,9,47233818
-0.00041622874968914625,0.3694376136000471,0.0005552338007904627,0.0008686090804201741,-6.672570877442092e-05,0.26453753294970656,0.09367302326324697,0.0019208578364035298,1.2586742868055283,-0.007264969542374545,-0.0028227384948588357,0.0009632239113811056,0.8229850805057218,0.054836208596555074,9.241698662846215,12.099579670700317,12,47233477
-0.0008354152721407904,-0.6140303029701519,0.0015051294290371218,-0.0018445243775871947,0.00017930938589803418,0.2507724502542507,0.08992709363832427,8.854512014007822e-05,1.2000356044455809,-0.01071553585492222,-0.003939537453328475,0.0010332468890606825,0.784366906220126,-0.0035685482265758895,9.241698662846215,10.934673084073927,11,47233270
-0.0010637229138562676,-0.4613020979195914,-0.0008772345123633118,0.001001709733840644,0.0027011164026557494,0.24411177766361586,0.09207534498067224,-0.0030509290067683107,-0.7979970054510894,-0.018215575359961517,-0.007682172980581145,0.0016078701969758301,-0.22275876883229973,-1.1171155120846474,9.241698662846215,6.953133462762812,7,47233100
0.016240877898479427,0.3422602230587596,-6.453763007583403e-05,0.0016819361642198421,-0.004651208268400009,-1.6832271668083862,-0.4699668666252743,0.016171189095674277,1.164064133481725,-0.0028534196130659607,-0.03645964842262609,0.00067921483416233,0.7647683201793486,-0.029597002199228083,9.241698662846215,9.320744707991528,9,47232669
4.5655095085439464e-05,0.39522108575936943,-0.0006161792528045167,-0.001756985428169445,-0.0024699556769282854,0.2884347823508129,0.09974208115909146,-0.009005081646072203,-0.7393336756662132,-0.013244990413023818,-0.002921249415504783,0.0008239364363402915,0.7958306734542262,-0.05882071359086675,9.241698662846215,9.993628046011557,10,47232621
-0.0037890981947549494,0.4189946448388486,-0.001098808666549126,-0.002297910688073476,0.004415784669553226,0.025676644422330957,-0.67171195479251,-0.017876549774915138,1.0780291026639701,-0.004834548173570846,0.04056833537255684,-0.006106635754469713,-0.1987131258742841,0.0355235054857378,9.241698662846215,9.938478048380086,10,47232248
-0.004621050438722267,-0.442089111641297,0.0032330047254835684,-0.0017813065795894954,0.016127272336497193,-1.2073304773889861,-0.5512024693255088,0.02687698065037222,1.2421770399877103,0.15121509447987996,-0.008396269671355896,-0.005708180620544102,-0.22322215769571294,-1.0356570559150249,9.241698662846215,7.201319975749417,8,47231973
0.002611132948402356,0.36952212042098787,-0.000374523083676317,0.001838499168752816,-0.006592641278121757,-0.7493732334242765,0.09549819672630486,-0.013570869816997462,2.1764289421249483,-0.004357142328296643,-0.004998724465283802,0.001179124656740742,-0.22085287807355536,0.0966987992026151,9.241698662846215,10.985355465624757,11,47231512
-0.0010955914911316834,0.24746885058579607,0.00044500357471221046,0.0015466556689743241,-0.0022765682859805796,0.32826530490359807,0.09457744406715156,-0.004601701330773425,1.99704798987277,0.011194990761770426,-0.002019573553719791,-6.554857222201061e-05,0.6267727701145501,1.068005451340234,9.241698662846215,13.60696414050195,11,47231513
0.013068781623195639,-0.5130364940951919,0.0008798179054676404,0.0024522618172678956,0.019419989639103193,0.23269435091035687,-0.25561322628345756,-0.00513225703405897,2.1348069296302294,-0.0023072040394905794,0.0987006045457357,0.00038187926108788927,-0.20549010835944453,0.012722062627633502,9.241698662846215,10.775246050994651,11,47231349
-2.868058659894142e-06,-0.6998550417630225,-0.0006619880597384195,0.002080955314788633,-0.004874903157213815,0.24136998735020387,0.08744977423127481,-0.004415445903464252,1.0053655697378532,0.00995534214883998,-0.0035500599466862016,-0.0033732395516840184,-0.2169870181615496,0.3841194926617119,9.241698662846215,10.03831921968887,10,47231007
-0.001385005856970984,-0.4614660347383352,-0.0005597823212896449,0.001001709733840644,-0.002627276526596461,0.24260372694383192,0.0961778031018627,-0.010438963116325235,-0.807480934907584,-0.013645026271382556,-0.004606529309084921,0.0009164694840808082,-0.20655460228485972,-1.1107116068475402,9.241698662846215,6.962922609929862,7,47230773
-0.0005328713847395987,-0.5193261269148713,0.0008798179054676404,-0.0039727013704308825,-0.002582183995868212,0.21903197486633727,0.1072602936779539,0.008093337313332515,2.1412831428557397,0.006680579047547929,-0.004819310886380781,-0.0008669190879264612,-0.20495179965293817,0.0390022992858207,9.241698662846215,11.026878194505258,11,47230754
