iter	Passed	Remaining
403	14943	3550
404	14981	3514
405	15022	3478
406	15064	3442
407	15103	3405
408	15141	3368
409	15178	3331
410	15218	3295
411	15257	3258
412	15299	3222
413	15341	3186
414	15379	3150
415	15421	3113
416	15458	3076
417	15497	3040
418	15534	3003
419	15570	2965
420	15610	2929
421	15649	2892
422	15692	2856
423	15736	2820
424	15776	2784
425	15817	2747
426	15855	2710
427	15893	2673
428	15932	2636
429	15975	2600
430	16026	2565
431	16082	2531
432	16136	2496
433	16193	2462
434	16241	2426
435	16312	2394
436	16358	2358
437	16406	2322
438	16445	2285
439	16486	2248
440	16525	2210
441	16562	2173
442	16600	2135
443	16642	2099
444	16680	2061
445	16719	2024
446	16759	1987
447	16795	1949
448	16833	1912
449	16869	1874
450	16912	1837
451	16950	1800
452	16992	1762
453	17032	1725
454	17072	1688
455	17117	1651
456	17157	1614
457	17193	1576
458	17232	1539
459	17270	1501
460	17309	1464
461	17349	1427
462	17390	1389
463	17439	1353
464	17482	1315
465	17525	1278
466	17592	1243
467	17644	1206
468	17698	1169
469	17749	1132
470	17806	1096
471	17857	1059
472	17900	1021
473	17939	984
474	17986	946
475	18028	908
476	18069	871
477	18107	833
478	18150	795
479	18205	758
480	18249	720
481	18294	683
482	18334	645
483	18383	607
484	18437	570
485	18493	532
486	18537	494
487	18582	456
488	18623	418
489	18669	381
490	18716	343
491	18762	305
492	18804	266
493	18852	228
494	18897	190
495	18950	152
496	18993	114
497	19039	76
498	19092	38
499	19138	0
