iter	RMSE
0	2.577831934
1	2.451512253
2	2.331322105
3	2.217595678
4	2.110543551
5	2.009805356
6	1.913133646
7	1.822349121
8	1.733937825
9	1.650178685
10	1.571055048
11	1.494824174
12	1.423884045
13	1.356557433
14	1.292895289
15	1.232345876
16	1.172348028
17	1.115964886
18	1.062348568
19	1.011186319
20	0.9635519516
21	0.9226578762
22	0.8802294206
23	0.8388488329
24	0.8009005081
25	0.7635777735
26	0.7300972158
27	0.7005186914
28	0.6726831813
29	0.6413852374
30	0.6135780821
31	0.5858244206
32	0.5586808649
33	0.5331796451
34	0.5097743637
35	0.4870884839
36	0.4660506591
37	0.4453243391
38	0.4273920128
39	0.408805089
40	0.3913939165
41	0.3755960919
42	0.3606693113
43	0.3462591963
44	0.3318180411
45	0.3182172271
46	0.307014692
47	0.2949774866
48	0.2833751426
49	0.2730111336
50	0.2627293797
51	0.2529368132
52	0.243393257
53	0.2345620023
54	0.2263372588
55	0.2182272702
56	0.2110767608
57	0.2043439988
58	0.19852318
59	0.1927212663
60	0.1866107721
61	0.1809561478
62	0.1756724296
63	0.170375257
64	0.1656077406
65	0.1611520044
66	0.1569163661
67	0.1528895624
68	0.1490796567
69	0.1455864878
70	0.1427706619
71	0.1395149085
72	0.1367246469
73	0.1342327413
74	0.1318701042
75	0.1292075858
76	0.127645128
77	0.1254648258
78	0.1233127495
79	0.1212733912
80	0.1197733856
81	0.1186317148
82	0.1166970052
83	0.1149180491
84	0.1134242009
85	0.1115073135
86	0.1104098717
87	0.1095311641
88	0.1081518139
89	0.1070944999
90	0.1061819755
91	0.105155565
92	0.1046339749
93	0.1031664656
94	0.1031404836
95	0.1020022836
96	0.100764774
97	0.099726169
98	0.09971738333
99	0.09856589135
100	0.09741880119
101	0.09644570601
102	0.09561547941
103	0.09559553821
104	0.0951756679
105	0.09515489008
106	0.09449064897
107	0.09399301502
108	0.09363485893
109	0.09306637818
110	0.09294952543
111	0.09292517285
112	0.09256398044
113	0.0921294935
114	0.09212095427
115	0.09199695539
116	0.09198711117
117	0.09153166904
118	0.09083176095
119	0.08993838338
120	0.08963379612
121	0.08922889528
122	0.08829285797
123	0.08829064726
124	0.08761239829
125	0.08704142527
126	0.08703555461
127	0.0863994197
128	0.08553438107
129	0.08526496536
130	0.08470984585
131	0.08423605987
132	0.08387075374
133	0.08356584365
134	0.08311696978
135	0.08277664261
136	0.08197149263
137	0.08197006307
138	0.08153075131
139	0.08104740663
140	0.08036247677
141	0.08003477979
142	0.08000103146
143	0.07979945033
144	0.07915399
145	0.07910634628
146	0.07909579857
147	0.07867179534
148	0.07866377094
149	0.07835486521
150	0.07805336462
151	0.07805257092
152	0.07782256609
153	0.07751867197
154	0.07723839925
155	0.0764165468
156	0.07638982318
157	0.07637938386
158	0.07633359214
159	0.07612170819
160	0.07538149158
161	0.07535076323
162	0.07502624564
163	0.07438625938
164	0.07414594967
165	0.07412649045
166	0.07376720889
167	0.07370723871
168	0.07344780219
169	0.07313805125
170	0.07219046211
171	0.07182624794
172	0.0716365047
173	0.07135969355
174	0.07135231331
175	0.07115409287
176	0.07095847382
177	0.07094545355
178	0.07047171755
179	0.07016682314
180	0.07015889987
181	0.07001761384
182	0.06998770718
183	0.06997390611
184	0.0694297176
185	0.06911422427
186	0.06909278536
187	0.0686705928
188	0.06846806
189	0.06823632515
190	0.06820318065
191	0.06797207911
192	0.06796175488
193	0.06731249649
194	0.06657425551
195	0.06637876223
196	0.06589739166
197	0.06577264582
198	0.06576260997
199	0.06529049076
200	0.06528795951
201	0.06504671618
202	0.06474688481
203	0.06471864685
204	0.06451306656
205	0.06437377041
206	0.06378233873
207	0.063769513
208	0.06343585215
209	0.06327575167
210	0.06326434413
211	0.06309290891
212	0.06294111122
213	0.06277745549
214	0.06272677885
215	0.06271220433
216	0.06242684543
217	0.06241858478
218	0.06241569652
219	0.0622022736
220	0.06167708563
221	0.06134859312
222	0.06086339015
223	0.06071583771
224	0.06070770617
225	0.06006676967
226	0.06005318975
227	0.06004709074
228	0.06003970861
229	0.05973540896
230	0.05959803162
231	0.05926895131
232	0.05926134094
233	0.05904141448
234	0.05903408222
235	0.05873941643
