iter	Passed	Remaining
402	16424	3953
403	16473	3914
404	16519	3875
405	16563	3834
406	16606	3794
407	16649	3754
408	16696	3714
409	16769	3681
410	16818	3642
411	16863	3601
412	16905	3561
413	16951	3521
414	16998	3481
415	17045	3441
416	17095	3402
417	17146	3363
418	17198	3324
419	17255	3286
420	17301	3246
421	17346	3206
422	17394	3166
423	17435	3125
424	17482	3085
425	17536	3046
426	17582	3005
427	17627	2965
428	17669	2924
429	17710	2883
430	17751	2841
431	17793	2800
432	17840	2760
433	17890	2720
434	17934	2679
435	17980	2639
436	18039	2600
437	18081	2559
438	18126	2518
439	18175	2478
440	18220	2437
441	18265	2396
442	18309	2355
443	18350	2314
444	18392	2273
445	18434	2232
446	18479	2191
447	18522	2149
448	18568	2109
449	18612	2068
450	18654	2026
451	18697	1985
452	18738	1944
453	18784	1903
454	18828	1862
455	18873	1821
456	18916	1779
457	18957	1738
458	18999	1697
459	19042	1655
460	19084	1614
461	19125	1573
462	19167	1531
463	19209	1490
464	19248	1448
465	19288	1407
466	19328	1365
467	19373	1324
468	19415	1283
469	19456	1241
470	19500	1200
471	19540	1159
472	19583	1117
473	19629	1076
474	19681	1035
475	19727	994
476	19774	953
477	19817	912
478	19859	870
479	19899	829
480	19944	787
481	19987	746
482	20038	705
483	20100	664
484	20149	623
485	20193	581
486	20235	540
487	20282	498
488	20327	457
489	20373	415
490	20421	374
491	20466	332
492	20509	291
493	20552	249
494	20599	208
495	20724	167
496	20766	125
497	20819	83
498	20868	41
499	20915	0
